"","sample_id","technology","read_counts"
"1","1-OS1-chla","c1",25970992
"2","10-OS19-HLOH","c1",1961180
"3","11-OS20-HLOH","c1",22862760
"4","12-OS27-HLOH","c1",1891714
"5","13-HRC4-chla","c1",1718906
"6","14-N12-HLOH","c1",1327670
"7","15-HRC3-chla","c1",4214290
"8","16-HRC1-chla","c1",3279004
"9","17-HC1-chla","c1",1952590
"10","18-HRC2-chla","c1",4211858
"11","19-N29-HLOH","c1",2947250
"12","2-OS2-chla","c1",1633778
"13","20-N17-HLOH","c1",4659790
"14","21-N28-HLOH","c1",1856942
"15","22-N23-HLOH","c1",18586890
"16","23-N21-HLOH","c1",1769528
"17","24-N25-HLOH","c1",1262284
"18","3-OS3-chla","c1",1696202
"19","4-OS4-chla","c1",1884860
"20","5-OS7-chla","c1",1537118
"21","6-OS8-chla","c1",1017138
"22","7-OS6-HLOH","c1",22928428
"23","8-OS7-HLOH","c1",1804900
"24","9-OS11-HLOH","c1",1316712
"25","1-OS1-chla","c2",2184302
"26","10-OS19-HLOH","c2",1960454
"27","11-OS20-HLOH","c2",3310722
"28","12-OS27-HLOH","c2",1891062
"29","13-HRC4-chla","c2",1718472
"30","14-N12-HLOH","c2",1327268
"31","15-HRC3-chla","c2",4213322
"32","16-HRC1-chla","c2",3278148
"33","17-HC1-chla","c2",1952106
"34","18-HRC2-chla","c2",4210722
"35","19-N29-HLOH","c2",2945876
"36","2-OS2-chla","c2",1633330
"37","20-N17-HLOH","c2",4657716
"38","21-N28-HLOH","c2",1856402
"39","22-N23-HLOH","c2",2790586
"40","23-N21-HLOH","c2",1768922
"41","24-N25-HLOH","c2",1261902
"42","3-OS3-chla","c2",1695620
"43","4-OS4-chla","c2",1884146
"44","5-OS7-chla","c2",1536506
"45","6-OS8-chla","c2",1016798
"46","7-OS6-HLOH","c2",2078252
"47","8-OS7-HLOH","c2",1804416
"48","9-OS11-HLOH","c2",1316366
"49","1-OS1-chla","fastqmcf",2184302
"50","10-OS19-HLOH","fastqmcf",1960454
"51","11-OS20-HLOH","fastqmcf",3310722
"52","12-OS27-HLOH","fastqmcf",1891062
"53","13-HRC4-chla","fastqmcf",1718472
"54","14-N12-HLOH","fastqmcf",1327268
"55","15-HRC3-chla","fastqmcf",4213322
"56","16-HRC1-chla","fastqmcf",3278148
"57","17-HC1-chla","fastqmcf",1952106
"58","18-HRC2-chla","fastqmcf",4210722
"59","19-N29-HLOH","fastqmcf",2945876
"60","2-OS2-chla","fastqmcf",1633330
"61","20-N17-HLOH","fastqmcf",4657716
"62","21-N28-HLOH","fastqmcf",1856402
"63","22-N23-HLOH","fastqmcf",2790586
"64","23-N21-HLOH","fastqmcf",1768922
"65","24-N25-HLOH","fastqmcf",1261902
"66","3-OS3-chla","fastqmcf",1695620
"67","4-OS4-chla","fastqmcf",1884146
"68","5-OS7-chla","fastqmcf",1536506
"69","6-OS8-chla","fastqmcf",1016798
"70","7-OS6-HLOH","fastqmcf",2078252
"71","8-OS7-HLOH","fastqmcf",1804416
"72","9-OS11-HLOH","fastqmcf",1316366
"73","1-OS1-chla","trimmomatic",280494
"74","10-OS19-HLOH","trimmomatic",428370
"75","11-OS20-HLOH","trimmomatic",579756
"76","12-OS27-HLOH","trimmomatic",440746
"77","13-HRC4-chla","trimmomatic",249424
"78","14-N12-HLOH","trimmomatic",156228
"79","15-HRC3-chla","trimmomatic",1381444
